profile_name,offer_id,title,company,experience_level,workplace_type,city,technologies,salary_range,cross_score,relevant
frontend-mid,363,"React.js Developer","SMART TOPAZ",mid,remote,"Poland (Remote)","Next.js; JavaScript; HTML; REST API; React.JS","14000-20000 PLN",0.415862,1
frontend-mid,5282,"Fullstack developer (Node.js and React) (f/m/d)","FIEGE Sp. z.o.o.",mid,remote,"Warszawa","React; Node.js","15000-18000 PLN",0.415336,1
frontend-mid,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",0.413988,1
frontend-mid,529,"React Developer | Fintech | Java Experience Required","Caspian One",mid,hybrid,"Kraków","TypeScript; React; Java","27300-37800 PLN",0.388703,1
frontend-mid,4597,"Software Engineer (TypeScript)","CLMedia Sp. z o.o.",mid,hybrid,"Warszawa","TypeScript; PostgreSQL; Node.js; Vue.js; Tailwind CSS; PrimeVue; Node.js Express","23520-28560 PLN",0.374044,1
frontend-mid,139,"Front-end Developer","Nocowanie.pl",mid,remote,"Warszawa","TypeScript; Next.js; React; JavaScript; Redux; Webpack","12000-17000 PLN",0.366280,1
frontend-mid,3232,"Junior Fullstack Developer","P100",junior,hybrid,"Rzeszów","TypeScript; Next.js; PostgreSQL; AI; Nest.js; Python 3; Blockchain","4000-5000 PLN",0.365644,1
frontend-mid,366,"Software Engineer - Frontend","Evidence Prime",mid,remote,"Kraków","TypeScript; React; JavaScript; HTML5; REST API; Git; CSS3","14000-16500 PLN",0.363984,1
frontend-mid,182,"React Native Developer","GMI Software",mid,remote,"Warszawa","TypeScript; CI/CD; React Native; Expo","12000-18000 PLN",0.361499,1
frontend-mid,3949,"Junior Frontend Developer","best HR and PM solutions",junior,remote,"Cracow","JavaScript; HTML; CSS; Git; SEO; CMS","7000-9000 PLN",0.358420,1
frontend-mid,3231,"React Native Developer","Miquido",mid,remote,"Kraków","React; Git; JS","14280-19320 PLN",0.357291,1
frontend-mid,210,"Mid Node.js Developer","Droplo",mid,hybrid,"Wałbrzych","TypeScript; Node.js; Node","11000-13000 PLN",0.354765,1
frontend-mid,390,"Frontend Developer","Primaris Services",mid,remote,"Warszawa","TypeScript; Next.js; JavaScript; Python; Reac","20160-23520 PLN",0.345402,1
frontend-mid,49,"Fullstack Developer (Mid)","Framna (formerly Bright Inventions)",mid,hybrid,"Gdańsk","TypeScript; Next.js; React; JavaScript; Node.js; nestJS; NoSQL; SQL; Databases; AWS","18772-21220 PLN",0.344829,1
frontend-mid,5305,"Frontend Developer (Angular)","Experis Manpower Group",mid,remote,"Wrocław","TypeScript; Docker; JavaScript; Git; Kubernetes; RESTful API; HTML/CSS; UI/UX; Angular 12","20160-21840 PLN",0.334776,1
frontend-mid,143,"Front-end Developer (Angular)","Eyzee S.A.",mid,remote,"Warszawa","JavaScript; Node.js; HTML5; CSS3; Angular 9+","12000-20000 PLN",0.330062,1
frontend-mid,27,"Fullstack Developer","UNIVIO",mid,remote,"Wrocław","TypeScript; Next.js; React; API; Node.js; E-commerce; VTEX; Nest.js; AWS","13400-21800 PLN",0.329581,1
frontend-mid,460,"Angular Developer (MID/SENIOR)","RITS Professional Services",mid,hybrid,"Warszawa","TypeScript; Angular; JavaScript; HTML5; Git; RxJS; CSS/SCSS; Reactive Forms; Angular Router; Angular Material","18480-25200 PLN",0.328431,1
frontend-mid,90,"Full-Stack Developer","TaxCalc | Engager.app",mid,remote,"Wokingham","TypeScript; Angular; React; Python; Express.js; Git; Nest.js; Redis; SQL","14747-19663 PLN",0.325910,1
frontend-mid,149,"Full Stack Developer","WAYF",mid,remote,"Poland (Remote)","TypeScript; Next.js; PostgreSQL; Node.js; React Native; Nest.js","10000-17000 PLN",0.317612,1
frontend-mid,135,"Fullstack Engineer (NodeJS, ReactJS)","SwingDev—a hippo company",mid,remote,"Warszawa","TypeScript; React; JavaScript; Node.js; Microservices; Nest.js","23000-26000 PLN",0.317478,1
frontend-mid,263,"Middle React Software Engineer","N-iX",mid,remote,"Kraków","TypeScript; React; GraphQL; REST API; English","14691-16160 PLN",0.316894,1
frontend-mid,89,"Front-end Developer","rynekpierwotny.pl",mid,hybrid,"Warszawa","TypeScript; Docker; React; JavaScript; Node.js; REST API; Kubernetes","13000-17000 PLN",0.302826,1
frontend-mid,184,"Frontend Developer","Klient Just Join IT",mid,hybrid,"Katowice","TypeScript; Next.js; React; Node.js; Vue.js; CMS; AWS","23000-27000 PLN",0.297344,1
frontend-mid,358,"Middle FullStack Software Engineer","N-iX",mid,remote,"Kraków","TypeScript; React; Node.js; C#; AI; Vue.js; AWS","16042-19127 PLN",0.296542,1
frontend-mid,244,"Full Stack Software Engineer (Node.js, React.js, AWS)","Bayer Sp. z o.o.",mid,hybrid,"Warszawa","TypeScript; JavaScript; Node.js; HTML; CSS; Git; Terraform; aws lambda; React.JS; AWS","15360-19200 PLN",0.284433,1
frontend-mid,104,"Fullstack Software Engineer","Remitly",mid,hybrid,"Kraków","Next.js; React; Kotlin; Java; React Native; Golang; SSR","20000-23000 PLN",0.282795,1
frontend-mid,4672,"Fullstack Software Engineer","autoMEE",mid,hybrid,"Gdańsk","TypeScript; PostgreSQL; React; RabbitMQ; Node.js Express; GenAI/LLM","12000-18000 PLN",0.278133,1
frontend-mid,367,"Full Stack Developer (Frontend-focused) – React / Next.js / Java (m/k/n)","Upvanta sp. z o.o.",mid,remote,"Warszawa","Next.js; React; Java; HTML5; Redux; Kafka; Spring; Figma; WordPress; Front-End","18900-23100 PLN",0.270943,1
frontend-mid,357,"Mid Angular Developer ","House of Angular",mid,remote,"Warszawa","TypeScript; Angular; JavaScript; Java; Spring; HTML/CSS; RxJS; State Management; Testy Automatyczne; English","10000-18000 PLN",0.267697,1
frontend-mid,71,"Full Stack Developer (Java, TypeScript)","Upvanta sp. z o.o.",mid,remote,"Wrocław","TypeScript; PostgreSQL; React; JavaScript; Java; REST API; MongoDB; Kafka; Spring; Oracle","21000-25200 PLN",0.266925,1
frontend-mid,163,"Web Portal Developer","Pretius",mid,remote,"Warszawa","TypeScript; Next.js; Zustand; React; Styled Components; web portal development; Tanstack Query; UI architectures; Hooks; Storybook","15120-20160 PLN",0.260360,0
frontend-mid,50,"Backend Developer (Mid)","Framna (formerly Bright Inventions)",mid,hybrid,"Gdańsk","TypeScript; React; JavaScript; Node.js; AI; Nest.js; AWS","18772-21220 PLN",0.258813,1
frontend-mid,1239,"Frontend Developer  (TypeScript)","optAd360",mid,hybrid,"Wrocław","TypeScript; Angular; React; HTML; CSS; Jest; Cypress; JS","12000-15500 PLN",0.254432,1
frontend-mid,23,"Frontend Developer","UNIVIO",mid,remote,"Wrocław","TypeScript; Next.js; React; JavaScript; HTML; CSS; GraphQL; VTEX; WCAG; SEO","10900-18400 PLN",0.253956,1
frontend-mid,4590,"Software Engineer (Frontend)","Revolut",mid,remote,"Kraków","TypeScript; ReactJS; JavaScript; English","28300-40000 PLN",0.252635,1
frontend-mid,326,"Full-Stack Developer","Evionica",mid,remote,"Warszawa","TypeScript; React; JavaScript; Vue; Rust","20000-24000 PLN",0.242544,1
frontend-mid,174,"Mid Frontend Developer","Jit Team",mid,hybrid,"Warszawa","TypeScript; React; JavaScript","10000-16000 PLN",0.241213,1
frontend-mid,3556,"Fullstack TypeScript Developer","Crestt Sp. z o.o.",mid,remote,"","TypeScript; Node.js; Express.js; K8s","16800-19824 PLN",0.240306,1
frontend-mid,461,"Fullstack Developer Frontend / .NET","QBUSOFT",mid,remote,"Gdańsk",".NET; JavaScript; HTML; CSS; Vue.js; Git; ASP.NET Core; Microsoft SQL; Entity Framework","12000-22000 PLN",0.238170,1
frontend-mid,490,"Freelance Full Stack Developer","TeaCode S.C.",mid,remote,"Warszawa","TypeScript; Next.js; React; Node.js; Nest.js; AWS","10080-20160 PLN",0.231205,1
frontend-mid,220,"Senior Full Stack Developer (Node.js + React)","DataArt",mid,remote,"Wrocław","Docker; PHP; JavaScript; Node.js; GraphQL; Git; nestJS; MySQL; React.JS; AWS","15000-17500 PLN",0.225467,1
frontend-mid,40,"Software Engineer","Ciklum",mid,remote,"Gdańsk","TypeScript; JavaScript; AWS","17502-18356 PLN",0.224972,1
frontend-mid,94,"Angular Developer","Miquido",mid,remote,"Kraków","TypeScript; Angular; HTML5; REST API; CSS3 / SCSS; RxJS","13440-16800 PLN",0.222831,1
frontend-mid,142,"Mid Fullstack Engineer","Appliscale",mid,remote,"Kraków","TypeScript; JavaScript; .NET C#; AWS","14000-20000 PLN",0.221508,1
frontend-mid,138,"Junior Developer with AI - part time/full time","Pirxey",junior,remote,"Gdańsk","TypeScript; Angular; React; JavaScript; Node.js; HTML; Python; CSS; Vue.js; SQL; Analytical Thinking","5800-8000 PLN",0.221114,1
frontend-mid,316,"Full stack developer (Typescript&AWS)","Cyclad",mid,remote,"Warszawa","TypeScript; AWS","16800-20160 PLN",0.220926,1
frontend-mid,100,"Fullstack Developer (React + Node.js)","Onwelo",mid,hybrid,"Warszawa","TypeScript; React; Node.js; REST API; PostreSQL","15750-19950 PLN",0.220410,1
frontend-mid,395,"Senior Full Stack Developer (Node.js + React)","DataArt",mid,remote,"Wrocław","Docker; PHP; JavaScript; Node.js; GraphQL; Git; nestJS; MySQL; React.JS; AWS","15000-19500 PLN",0.215994,1
frontend-mid,4530,"Fullstack Developer (Typescript/AWS)","Upvanta sp. z o.o.",mid,remote,"Warszawa","TypeScript; Node.js; Java; Python; GitHub Actions; NoSQL; SQL; Lambda; AWS; Bamboo","18900-23730 PLN",0.215596,1
frontend-mid,129,"Mid Backend Developer - part time/full time","Pirxey",mid,remote,"Gdańsk","TypeScript; PHP; Node.js; Java; Python; C#; Unit Testing; SQL; Analytical Thinking; Software Architecture","8000-18000 PLN",0.212910,0
frontend-mid,204,"Fullstack Developer","Asana",mid,hybrid,"Warszawa","TypeScript; React; JavaScript; Node.js; Scala","23667-33896 PLN",0.206876,1
frontend-mid,295,"Full-stack Front-end Developer (React, Java)","Link Group",mid,remote,"Warszawa","TypeScript; React; JavaScript; Java","16800-26880 PLN",0.200878,1
frontend-mid,225,"Regular React Native Developer","Spyrosoft",mid,remote,"Wrocław","TypeScript; JavaScript; CI/CD; Git; React Native","11760-18480 PLN",0.198862,1
frontend-mid,449,"QA Automation Engineer","SMART TOPAZ",mid,remote,"Warszawa","TypeScript; Docker; PostgreSQL; JavaScript; Node.js; REST API; Automated Testing","16000-20000 PLN",0.195150,1
frontend-mid,258,"Fullstack Developer (Node.js & Typescript)","7N",mid,hybrid,"Warszawa","TypeScript; REST; PostgreSQL; Node.js; HTML; CSS; GraphQL; SQL; GCP","25200-31920 PLN",0.191794,1
frontend-mid,5124,"Fullstack Java Developer (Java + React/Next.js)","UpMenu.com",mid,remote,"Łódź","TypeScript; Next.js; Docker; JavaScript; Java; MySQL; Claude Code; GitLab; DevOps","16000-20000 PLN",0.185614,1
frontend-mid,1444,"Web Portal Developer","Link Group",mid,remote,"","TypeScript; React; Headless CMS","16000-18480 PLN",0.184126,1
frontend-mid,169,"TypeScript Engineer – Strapi (Regular)","VirtusLab",mid,remote,"Kraków","TypeScript; React; Node.js; strapi; Storybook","15000-22000 PLN",0.183292,1
frontend-mid,737,"JS / Junior Developer","Arrmy.gg",junior,hybrid,"Gdynia","JavaScript; HTML; Git","6000-10000 PLN",0.177167,1
frontend-mid,4509,"Fullstack Developer (React / .NET)","co.brick",mid,remote,"Gliwice",".NET; React","15120-16800 PLN",0.176512,1
frontend-mid,93,"Frontend Developer (Vue.js)","FINANTEQ",mid,remote,"Lublin","TypeScript; JavaScript; Vue.js; UX/UI; Figma","12000-16000 PLN",0.173893,1
frontend-mid,171,"Frontend Developer (React / UI-aware)","EduGO P.S.A.",mid,remote,"Łódź","TypeScript; HTML; CSS; CI/CD; UX/UI; Figma","17000-24000 PLN",0.169783,1
frontend-mid,1227,"Frontend Developer (React / UI-aware)","EduGO P.S.A.",mid,remote,"Łódź","TypeScript; HTML; CSS; CI/CD; UX/UI; Figma","17000-24000 PLN",0.169783,1
frontend-mid,208,"Front-end Software Engineer 2 - Consumer Experience","Allegro",mid,hybrid,"Poznań","TypeScript; React; JavaScript; Node.js; HTML; CSS; Jest; Playwright; Cypress; Generative AI","14200-19690 PLN",0.168766,1
frontend-mid,3581,"Magento | Frontend Developer","Advox Studio",mid,remote,"Poznań","React; HTML; Git; JS; Magento; Hyva; Vue.js v2; Nuxt v2; PWA; CSS/LESS/SASS","8500-13500 PLN",0.168403,1
frontend-mid,5221,"Mid Fullstack Developer - Global Fintech Project","Humanit",mid,remote,"Wrocław","Docker; React; Node.js; REST API; Redux; JavaScript / TypeScript; SQL (Postgres / MySQL)","14000-17000 PLN",0.163305,1
frontend-mid,325,"Angular Developer 100% zdalnie","Ness Solution",mid,remote,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","16800-23520 PLN",0.153286,1
frontend-mid,16,"React Developer","ITMAGINATION",mid,remote,"","Next.js; Zustand; React","15120-17640 PLN",0.149800,1
frontend-mid,241,"Full Stack Developer (Node.js+React)","Andersen",mid,remote,"Budapest","TypeScript; React; Node.js; AWS","6244-9182 PLN",0.146169,1
frontend-mid,212,"Angular Frontend Developer (Mid / Mid+) / Projekt","Oskar Wegner",mid,hybrid,"Szczecin","TypeScript; Angular; JavaScript; HTML5; Git; CSS3; NgRx; RxJS","14000-16000 PLN",0.145655,1
frontend-mid,364,"React/Frontend Developer","SellIntegro",mid,remote,"Wrocław","Docker; .NET; React; C#; Unit Testing; Git; SQL; ASP.NET Core; JS","12000-16000 PLN",0.145135,1
frontend-mid,102,"Frontend Developer (React)","Connectis",mid,hybrid,"Warszawa","React; JavaScript; CI/CD","20000-23000 PLN",0.139422,1
frontend-mid,491,"Regular Fullstack Developer (B2B | 100% remote)","TeaCode S.C.",mid,remote,"Warszawa","TypeScript; Next.js; PostgreSQL; React; Node.js; React Native; Nest.js; Supabase","10080-20160 PLN",0.133632,1
frontend-mid,2942,"Remote Front End Developer","Coalition Technologies",mid,remote,"Los Angeles","HTML5; jQuery; Bootstrap; SCSS; JavaScript ES6+","10489-21595 PLN",0.133159,1
frontend-mid,497,"React & Java / Spring Boot Full-Stack Engineer","UWS ie Ltd.",mid,remote,"Katowice","TypeScript; Spring Boot; Angular; React; Java; Redux","12875-21458 PLN",0.132871,1
frontend-mid,361,"Programista Frontend","Ness Solution",mid,hybrid,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","15960-19320 PLN",0.132753,1
frontend-mid,61,"Programista Front-end (k/m)","Grupa Komputronik",mid,hybrid,"Poznań","JavaScript; AI; CSS; HTML5; SaaS","6000-10000 PLN",0.132275,1
frontend-mid,3918,"Full Stack Developer (Java, TypeScript)","Upvanta",mid,remote,"","Java; REST API; Spring","21000-25200 PLN",0.131603,1
frontend-mid,369,"QA Automation Engineer","SMART TOPAZ",mid,remote,"Poland (Remote)","TypeScript; Docker; PostgreSQL; JavaScript; Node.js; REST API; Automated Testing","16000-20000 PLN",0.129252,1
frontend-mid,47,"Frontend Developer","FAKTURA.PL",mid,remote,"Warszawa","TypeScript; JavaScript; HTML; CSS","12000-16000 PLN",0.128126,1
frontend-mid,4984,"Full-stack Developer (React, .NET)","Fabres",mid,hybrid,"Poznań",".NET; React; C#","18480-21840 PLN",0.125442,1
frontend-mid,159,"Mid Fullstack JavaScript Developer (Node&Vue)","STATSCORE Sp. z o.o.",mid,hybrid,"Katowice","TypeScript; JavaScript; Node.js; HTML; CSS; Vue.js; SQL; RabbitMQ","10500-18000 PLN",0.122696,1
frontend-mid,270,"Programista / Programistka Frontend","Lumicode Sp. z o.o. (Pentacomp Group)",mid,remote,"Warszawa","Angular; JavaScript; Node.js; HTML5; NPM; CSS3; Bootstrap; Agile","15120-19320 PLN",0.120846,1
frontend-mid,4627,"Frontend Developer (React Native)","Boldare",mid,hybrid,"Wrocław","TypeScript; React; React Native","10000-16000 PLN",0.120469,1
frontend-mid,342,"Frontend Developer","Comfortel",mid,hybrid,"Tychy","TypeScript; Angular; HTML5; REST API; NPM; CSS3; RxJS; Angular CLI; SCSS; HTTP","11000-13000 PLN",0.119236,1
frontend-mid,368,"Frontend Developer (Angular) 🧠","Ness Solution",mid,hybrid,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","15120-18480 PLN",0.118440,1
frontend-mid,4300,"Full Stack Engineer","TechTree",mid,hybrid,"Warszawa","TypeScript; React; JavaScript; Node.js; SQL databases","23276-46552 PLN",0.116503,1
frontend-mid,323,"Software Engineer (Node)","Kingfisher plc",mid,hybrid,"Kraków","TypeScript; Docker; JavaScript; Node.js; GraphQL; Git; Visual Studio Code; AWS","13000-22000 PLN",0.113014,0
frontend-mid,255,"Full-Stack Engineer (AI)","ArdentCode",mid,remote,"Wrocław","TypeScript; React; JavaScript; Node.js; Python; AI; Django","16000-20000 PLN",0.111979,1
frontend-mid,347,"Programista Frontend praca zdalna","Ness Solution",mid,remote,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","16800-23520 PLN",0.109683,1
frontend-mid,2944,"Remote Shopify Developer","Coalition Technologies",mid,remote,"Los Angeles","JavaScript; E-commerce; HTML5; Shopify; SCSS","10489-21595 PLN",0.109440,1
frontend-mid,215,"Full-stack Engineer (JavaScript/React)","Motorola Solutions",mid,hybrid,"Kraków","React; JavaScript; AWS","14000-19000 PLN",0.108439,1
frontend-mid,167,"Blockchain Payments Integration - Backend Engineer (TypeScript)","gmi.software",mid,remote,"Gdańsk","TypeScript; PostgreSQL; Node.js; Vitest","14000-20000 PLN",0.106437,1
frontend-mid,3206,"Fullstack Developer (Node.js + React) (m/k)","Devire",mid,remote,"","TypeScript; React; Node.js","16800-21000 PLN",0.105448,1
frontend-mid,2834,"Software Engineer - PHP/JavaScript (k/m)","NEXAI Sp. z o.o.",mid,hybrid,"Poznań","TypeScript; PHP; JavaScript","12000-15000 PLN",0.104445,1
frontend-mid,5375,"JavaScript Full-stack Engineer","Full Stack House",mid,hybrid,"Poznań","TypeScript; React; JavaScript","8400-16800 PLN",0.103500,1
frontend-mid,354,"Frontend Developer (Angular) 🧠 100% zdalnie","Ness Solution",mid,remote,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","15120-18480 PLN",0.101259,1
frontend-mid,51,"Mid Angular Developer (z Ionic)","Angry Nerds",mid,remote,"Wrocław","TypeScript; Angular; JavaScript; Ionic","11700-16800 PLN",0.099960,1
frontend-mid,478,"Software Engineer (node.js, backend)","OneRail Poland Sp. z o.o.",mid,hybrid,"Kraków","TypeScript; Node.js","18000-22000 PLN",0.099831,1
frontend-mid,335,"FullStack Developer (React + Node.js)","ALTIMI",mid,remote,"Wrocław","React; Node.js; GCP","16800-23520 PLN",0.099265,1
frontend-mid,108,"Software Engineer III (Level 4)","Software Mansion",mid,hybrid,"Kraków","TypeScript; React; JavaScript; Python; React Native","17000-25000 PLN",0.097368,1
frontend-mid,249,"Fullstack Engineer (React & Node.js & Python)","Holisticon Connect",mid,remote,"Wrocław","TypeScript; Docker; React; API; JavaScript; Node.js; Python; AI; Linux; AWS","23520-26880 PLN",0.096741,1
frontend-mid,349,"Frontend Developer (Angular) - 100% zdalnie","Ness Solution",mid,remote,"Warszawa","TypeScript; Angular; JavaScript; HTML; CSS","16800-23520 PLN",0.087245,1
frontend-mid,4987,"Java Developer","DCG",mid,remote,"","Java; SQL; MySQL","20160-22680 PLN",0.085871,0
frontend-mid,343,"Business Automation Engineer (Python/Node.js)","Yard Corporate",mid,remote,"Kraków","Node.js; Python; Salesforce","100-130 PLN",0.084640,0
frontend-mid,739,"Product Frontend Developer (React / UI-UX) – GFComply","GFComply Sàrl",mid,remote,"","TypeScript; React; UI","21840-23520 PLN",0.079984,1
frontend-mid,746,"Fullstack Engineer (Node.js + React)","Square One Resources",mid,hybrid,"Warsaw","PostgreSQL; React; AWS","20160-23520 PLN",0.078479,1
frontend-mid,738,"Full Stack Engineer (NodejS/ React) ","Tenth Revolution Group",mid,hybrid,"Warszawa","React; JavaScript; Node.js","20000-28000 PLN",0.076549,1
frontend-mid,99,"Front End Engineer (Poland, Remote)","First Connect Insurance",mid,remote,"Gdańsk","TypeScript; Docker; React; JavaScript; Git; Large Language Models; AWS","23000-26000 PLN",0.074492,1
frontend-mid,165,"Projektant Aplikacji","Neontri",mid,hybrid,"Warszawa","JavaScript; CI/CD","15120-18480 PLN",0.071729,1
frontend-mid,181,"Full-Stack Engineer -  AI Platform","Perfect Gym Solutions",mid,remote,"Warszawa","TypeScript; React; Java","22000-26000 PLN",0.071590,1
frontend-mid,191,"Frontend Developer","Pretius",mid,hybrid,"Warszawa","TypeScript; Angular; JavaScript; Web Applications; RxJS","13440-15120 PLN",0.070765,1
frontend-mid,121,"Node Developer","OneRail Poland Sp. z o.o.",mid,hybrid,"Kraków","TypeScript; Node.js","18000-22000 PLN",0.069977,1
frontend-mid,1254,"Web Developer / Web Master (WordPress + E-commerce + Automatyzacje)","Nomos sp. z o.o. sp.k.",mid,hybrid,"Warszawa","PHP; JavaScript; HTML; CSS; Git; WooCommerce; WordPress; Elementor; BaseLinker; PrestaShop","6100-11200 PLN",0.066904,1
frontend-mid,4277,"Fullstack Developer (Java+Angular) short-term project","ITMAGINATION",mid,remote,"","Java","25200-28560 PLN",0.064680,1
frontend-mid,1781,"Mid Full-Stack Engineer (AI)","ArdentCode",mid,hybrid,"Wrocław","React; JavaScript; Node.js","16000-20000 PLN",0.064520,1
frontend-mid,221,"Frontend Developer (NextJs & React)","Naturaily",mid,remote,"Wrocław","Next.js; React; GraphQL; REST API","13440-20160 PLN",0.064401,1
frontend-mid,471,"Angular Software Engineer","Motorola Solutions",mid,hybrid,"Kraków","TypeScript; Angular; HTML; CSS; RESTful; API Testing; NgRx","14000-17000 PLN",0.062690,1
frontend-mid,265,"Senior Backend Developer (Node.js + Hydra + AWS)","SCALO",mid,remote,"Kraków","Node; AWS","20160-22680 PLN",0.060602,1
frontend-mid,233,"Frontend Engineer (IIoT Platform)","cloudatus",mid,remote,"Rzeszów","TypeScript; Angular; React; HTML; CSS; CI/CD; D3.js; plotly","12500-19500 PLN",0.057106,1
frontend-mid,2916,"FullStack Engineer React/Node.js","Marska",mid,hybrid,"Kraków","TypeScript; Angular; React; Node.js; GCP; AWS","18060-25284 PLN",0.055671,1
frontend-mid,3569,"Full Stack Developer Java","Makeitright Sp. z o.o.",mid,remote,"","React; API; Java; AWS","18480-23520 PLN",0.055012,1
frontend-mid,4635,"Frontend Regular React Developer","SquareOne",mid,remote,"","Next.js; React; React.JS","13440-16800 PLN",0.052294,1
frontend-mid,5395,"Java Developer","XTB",mid,hybrid,"Warsaw","Java; Kafka; Rancher","15300-19400 PLN",0.049560,0
frontend-mid,526,"Remote WordPress Developer","Coalition Technologies",mid,remote,"Los Angeles","PHP; JavaScript; HTML5; WooCommerce; WordPress; SCSS","10489-21595 PLN",0.048480,1
frontend-mid,141,"Shopify Developer (osoba na stanowisku Shopify Developera)","Strix",mid,remote,"Kraków","React; JavaScript; HTML; CSS; REST API; Shopify","11000-15000 PLN",0.047165,1
frontend-mid,111,"Front-End Engineer (React + Java), Officer","State Street",mid,hybrid,"Kraków","TypeScript; React; JavaScript; Java; Redux; CSS3; Jest; Playwright; Cypress; RxJS","12000-18000 PLN",0.046958,1
frontend-mid,521,"GOC | Frontend Engineer","WPP Media",mid,hybrid,"Warszawa","Angular; React; JavaScript; HTML; CSS","6333-12500 PLN",0.045343,1
frontend-mid,79,"Palantir Front-End Engineer","ALTIMI",mid,remote,"Wrocław","React; Typescrip; Palantir Foundry; UI","27398-36050 PLN",0.041956,1
frontend-mid,4,"Fullstack Developer (Laravel + React) – ASAP k/m/*","Square One Resources",mid,remote,"","PostgreSQL; React; PHP","16800-23520 PLN",0.040761,1
frontend-mid,5363,"Java Developer [M/F]","Stackmine",mid,hybrid,"Poznań","Java; Kafka; Spring","16800-21840 PLN",0.031934,0
frontend-mid,2979,"Shopify Developer","Cloudflight Poland",mid,remote,"Wrocław","TypeScript; JavaScript; CSS; REST API; Shopify; MySQL; Figma; SASS; Hydrogen","10080-14280 PLN",0.030510,1
frontend-mid,1445,"Frontend Engineer (Platform)","eSkill",mid,hybrid,"Kraków","JavaScript","18000-23000 PLN",0.028580,1
frontend-mid,4273,"Fullstack Engineer (.NET & Angular & T-SQL)","Sunscrapers",mid,hybrid,"Warszawa",".NET; C#; AI","18000-24000 PLN",0.027302,1
